name,latitude,longitude,is_similar
kbyJYJzqEVkEmpc,13.022860036406271,77.6889113638505,0
qbgufTPzZEkxNHV,13.093674816189669,77.70277883001796,0
XWIXkuyDacCmsaE,12.902878648292315,77.63320683133851,0
PWMPzEhgQSIJFtLl,12.864532497107326,77.73143549579069,1
PWMPzEhgQSIJFtL,12.865321165438637,77.7314729992191,1
MHveToenbpcMPeW,13.070456018571468,77.61095504838325,0
WItnvWIntfoiilf,13.002355807337722,77.68354833818422,0
DPjNIjFDGUdRaNP,12.98265490445029,77.59337744207735,0
SMLuzwDVgJxZDJm,13.065281841410734,77.47249963352621,0
vAbbuCYbFLCXICj,12.990463234256683,77.67294947673729,0
rLfczOfLhEoRnGZ,12.909937845030036,77.68557472225271,0
edieHBeImKgBQAJ,12.938959131040832,77.46586954486291,0
GOwLhWmXEfYOmVX,12.901291142437978,77.67374439217214,0
orOQKFbRAoHeqcJ,12.889252276801471,77.59694536804952,0
CdWAxHeYVjKBRoq,13.093738229959008,77.71307803700402,0
lqKiDFBZBTWUez,12.983261295304194,77.67860107706478,1
lqKiDFBZBTWXUez,12.98372612827221,77.67840867602989,1
eNmJDTcGphYUOiL,12.90105404569474,77.72835216668719,0
sjislLxiXZmXLXrA,12.873688787580445,77.50616775642054,1
sjislLxiXZmXLXr,12.874079493237168,77.50552922468972,1
PMiOQVrAkdXaIku,12.999143465806814,77.6242709621707,0
tnbuHQPEFCTHbM,12.990843895648302,77.5440597112632,1
KtnbuHQPEFCTHbM,12.99117668224228,77.54470053564766,1
XLAftyVglwWYsGW,12.91219248439651,77.73902379020363,0
rZxvAzqBqmxjOvp,13.082419121567929,77.49799200257667,0
zQDGraifUKPvJXrh,12.912486140806315,77.7199094108049,1
zQDGraifUKPvJXr,12.912090285613802,77.72061060421989,1
nDUUMkFmhvWSeKA,12.999385526105842,77.52447072691433,0
pTSAacswfCkLTrH,12.878808961138802,77.59037237914158,0
LnDIkeWZGiDzBbG,12.951539591047544,77.47294796577847,0
ChJfRzoluYXLLJA,12.8882750559302,77.6045936367366,0
SwTyWHAtgBNNwyO,12.983947369705833,77.65270791483387,0
kpkmIKHoUVIufgD,12.988933299672844,77.6135886686879,0
IcpEXtdzmmRLCWr,12.878666224798664,77.58388550743625,0
AjpQlKTWzTIbhZR,12.995080173448487,77.65264226480396,0
fsJxXgslhutMiTc,12.89721099801046,77.54057680717833,0
KdyidcbCRDnYnmN,12.87863062732313,77.61571364347697,0
QFXbeahTXokzxXE,12.865956458252535,77.7382320646334,0
IcDAjGOxTMfSHPF,13.009243799656282,77.47278516130243,0
TVAaGCcKLfPKBSc,13.038364959722797,77.65188765834407,0
ZqYiEiXtnNdnMQd,12.890396541175786,77.51178720489396,0
skziWqCsJpYkKUr,13.05053951541846,77.5644645133722,0
EzXfmMXrcmOPODa,13.094561099592813,77.70123553132788,0
osLsWAOQUdGDZYQ,12.996804308584515,77.67688770773503,0
xaxGBTpqceCpeQo,13.082417744951508,77.48956202410079,0
vowfjrCAhFjsuFU,13.094635211576126,77.67534984195395,0
sTPYKDcRDklHquz,13.060097162171068,77.5292802194977,0
hERpHEmvMnatBqq,12.957686677642144,77.44905194090286,0
lwzJQhDNjFeZaGu,13.0839943020055,77.64385892644782,0
ZtGYasvPbFraLKt,12.941266632251436,77.45607967243131,0
scHiTOxyvnkkeoK,13.079364414475078,77.54146125669205,0
kDCpRTCvAAxSHki,12.920466687436784,77.46194735287851,0
IiUaIKLepwZKsK,12.910422441231065,77.59244420713948,1
IiUaIKLepwZlKsK,12.91128729120406,77.59196143907485,1
YThcnZeITZSBWti,13.061704191299947,77.46981109255367,0
UGMWtjvSRqgJVnG,13.017528953796576,77.62423507924213,0
OUidkjxBLedTuHH,13.041627852440817,77.72598449428236,0
izdTHTBEbYaEgOX,13.033651630319612,77.71765686327974,0
PUEPIdrCLOanVoe,12.99804690574572,77.62951874620994,0
AHzXGncOYekvbc,12.906721488679834,77.703402737544,1
AHzXGncOYekMvbc,12.905894120524152,77.70314403967068,1
wUimqZxiywwEpgW,12.870097156197234,77.561422159409,0
WmrWTJjSeoDNKrY,13.052554034724048,77.72506751778647,0
PSKniQjkACaYDAF,12.854642265109044,77.5179598672417,0
ldVvnlZYRRQIARe,13.00623614473353,77.64876609500438,0
zXFOuQMpUCQNvwN,13.001475807423242,77.55459404363185,0
cfCcavzCtxehzgB,13.016351065442011,77.71404579925819,0
bYYGjWYrhFUbeMw,13.09147894409711,77.64326136511889,0
RDRnTMfmYfSiWLa,12.873426272892434,77.5921946937887,0
DkRreiaFouYeugQi,13.028659386729384,77.50803626398752,1
DkRreiaFouYeugQ,13.028495876891585,77.50866651128297,1
UhTpjPyNxMNPLTu,12.964336643381412,77.61389928547896,0
ZMBcVAKMKMvEWGe,13.080471963574963,77.54533922401212,0
FJPspVZZjtCpGhD,12.963957957891685,77.5837200103863,0
VVYyShvmxawkABS,12.99987048203448,77.55501223440146,0
FtLcazuLGZorHIp,12.904325943557756,77.56540885997418,0
QXhfUHXfnEuMLzK,12.869157461734234,77.55454982733838,0
MOevNigvbIPFlIw,12.905168032394233,77.5355798459731,0
yedOHCLujmIAmrw,12.875896286236395,77.53438207632158,0
yEBaScGavnPNhaO,12.98390380633271,77.67301245978192,0
gbxCPStfxHtqGPj,12.890110831870947,77.69536264026017,0
